timestamp, power.draw [W]
2026/02/22 02:09:28.702, 26.85 W
2026/02/22 02:09:29.702, 26.42 W
2026/02/22 02:09:30.703, 26.42 W
2026/02/22 02:09:31.703, 26.67 W
2026/02/22 02:09:32.703, 26.68 W
2026/02/22 02:09:33.703, 26.93 W
2026/02/22 02:09:34.703, 26.79 W
2026/02/22 02:09:35.703, 26.70 W
2026/02/22 02:09:36.703, 26.67 W
2026/02/22 02:09:37.704, 26.56 W
2026/02/22 02:09:38.704, 26.56 W
2026/02/22 02:09:39.704, 26.64 W
2026/02/22 02:09:40.704, 26.61 W
2026/02/22 02:09:41.704, 26.78 W
2026/02/22 02:09:42.704, 26.44 W
2026/02/22 02:09:43.704, 26.52 W
2026/02/22 02:09:44.705, 26.61 W
2026/02/22 02:09:45.705, 26.78 W
2026/02/22 02:09:46.705, 26.85 W
2026/02/22 02:09:47.705, 26.17 W
2026/02/22 02:09:48.705, 26.49 W
2026/02/22 02:09:49.705, 26.56 W
2026/02/22 02:09:50.705, 26.91 W
2026/02/22 02:09:51.705, 26.87 W
2026/02/22 02:09:52.706, 26.91 W
2026/02/22 02:09:53.706, 26.86 W
2026/02/22 02:09:54.706, 26.78 W
2026/02/22 02:09:55.706, 26.97 W
2026/02/22 02:09:56.706, 26.90 W
2026/02/22 02:09:57.706, 27.11 W
2026/02/22 02:09:58.706, 27.08 W
2026/02/22 02:09:59.707, 27.01 W
2026/02/22 02:10:00.707, 26.95 W
2026/02/22 02:10:01.707, 26.88 W
2026/02/22 02:10:02.707, 26.88 W
2026/02/22 02:10:03.707, 26.82 W
2026/02/22 02:10:04.707, 26.82 W
2026/02/22 02:10:05.707, 26.70 W
2026/02/22 02:10:06.708, 27.08 W
2026/02/22 02:10:07.708, 27.00 W
2026/02/22 02:10:08.708, 27.01 W
2026/02/22 02:10:09.708, 26.77 W
2026/02/22 02:10:10.708, 26.73 W
2026/02/22 02:10:11.708, 26.75 W
2026/02/22 02:10:12.710, 26.58 W
2026/02/22 02:10:13.710, 26.71 W
2026/02/22 02:10:14.710, 27.20 W
2026/02/22 02:10:15.711, 26.67 W
2026/02/22 02:10:16.711, 26.67 W
2026/02/22 02:10:17.711, 26.65 W
2026/02/22 02:10:18.711, 26.63 W
2026/02/22 02:10:19.711, 26.61 W
2026/02/22 02:10:20.711, 26.36 W
2026/02/22 02:10:21.711, 26.42 W
2026/02/22 02:10:22.712, 26.58 W
2026/02/22 02:10:23.712, 26.67 W
2026/02/22 02:10:24.712, 26.68 W
2026/02/22 02:10:25.712, 26.65 W
2026/02/22 02:10:26.712, 26.65 W
2026/02/22 02:10:27.712, 26.37 W
2026/02/22 02:10:28.713, 26.42 W
2026/02/22 02:10:29.713, 26.35 W
2026/02/22 02:10:30.713, 26.34 W
2026/02/22 02:10:31.713, 26.35 W
2026/02/22 02:10:32.713, 26.39 W
2026/02/22 02:10:33.713, 26.57 W
2026/02/22 02:10:34.713, 26.50 W
2026/02/22 02:10:35.714, 26.67 W
2026/02/22 02:10:36.714, 26.92 W
2026/02/22 02:10:37.714, 26.84 W
2026/02/22 02:10:38.714, 26.98 W
2026/02/22 02:10:39.714, 26.82 W
2026/02/22 02:10:40.714, 26.67 W
2026/02/22 02:10:41.714, 26.52 W
2026/02/22 02:10:42.714, 26.53 W
2026/02/22 02:10:43.715, 26.59 W
2026/02/22 02:10:44.715, 26.31 W
2026/02/22 02:10:45.715, 26.41 W
2026/02/22 02:10:46.715, 26.64 W
2026/02/22 02:10:47.715, 26.50 W
2026/02/22 02:10:48.715, 26.60 W
2026/02/22 02:10:49.715, 26.59 W
2026/02/22 02:10:50.716, 26.57 W
2026/02/22 02:10:51.716, 26.85 W
2026/02/22 02:10:52.716, 26.82 W
2026/02/22 02:10:53.716, 26.75 W
2026/02/22 02:10:54.716, 27.00 W
2026/02/22 02:10:55.716, 26.95 W
2026/02/22 02:10:56.716, 26.86 W
2026/02/22 02:10:57.716, 26.62 W
2026/02/22 02:10:58.717, 26.59 W
2026/02/22 02:10:59.717, 26.98 W
2026/02/22 02:11:00.717, 27.00 W
2026/02/22 02:11:01.717, 26.87 W
2026/02/22 02:11:02.717, 26.88 W
2026/02/22 02:11:03.717, 26.78 W
2026/02/22 02:11:04.717, 27.01 W
2026/02/22 02:11:05.718, 26.97 W
2026/02/22 02:11:06.718, 27.08 W
2026/02/22 02:11:07.718, 27.25 W
2026/02/22 02:11:08.718, 27.03 W
2026/02/22 02:11:09.718, 26.99 W
2026/02/22 02:11:10.718, 26.88 W
2026/02/22 02:11:11.718, 26.82 W
2026/02/22 02:11:12.719, 26.83 W
2026/02/22 02:11:13.719, 27.09 W
2026/02/22 02:11:14.719, 26.75 W
2026/02/22 02:11:15.719, 26.08 W
2026/02/22 02:11:16.719, 26.17 W
2026/02/22 02:11:17.719, 26.17 W
2026/02/22 02:11:18.719, 26.85 W
